title,channel_name,daily_rank,daily_movement,weekly_movement,snapshot_date,country,view_count,like_count,comment_count,description,thumbnail_url,video_id,channel_id,video_tags,kind,publish_date,langauge
I Fused Me & Emma Into One Brainrot...,Techys,11,1,39,2/10/2026,ZW,703625,42149,4238,"Join My Roblox Group!
https://www.roblox.com/groups/3304336...

Socials: https://solo.to/techys

#Roblox",https://i.ytimg.com/vi/I_bW43tXyzk/mqdefault.jpg,I_bW43tXyzk,UCoRjsuzMh-MqfRjvlqaVLPw,,youtube#video,2/8/2026 1:00,en
Lalala - Xiba ft. Jnr Spragga & Calvin Mangena,Xiba,12,1,38,2/10/2026,ZW,136705,4968,399,"“Lalala” captures love as it’s lived and felt, natural, honest, and expressive. A song made for the heart! Created in the spirit of LOVE, the song is on connection, affection, and the joy that comes with being truly in love.

Video shot and directed by …….brendon.xg
Dressed by …. Leslie Mucheno 
Makeup by ……Mattie the therapist
Set design…… Twellings",https://i.ytimg.com/vi/opd-BQNn8oM/mqdefault.jpg,opd-BQNn8oM,UCDcvXlK7VwbbyoHc84LNbow,,youtube#video,2/5/2026 1:00,en
🔴Live- Man United vs Tottenham | England Premier League 25/26 Match | PES21 Game Simulation,Mona Football,13,1,37,2/10/2026,ZW,67956,317,2,"Live- Man United vs Tottenham | England Premier League 25/26 Match | PES21 Game Simulation

Welcome to simulation of Man United vs Tottenham Live Stream Full Match Today England Premier League 2025/26, played on eFootball PES 21. This content is for entertainment purposes only and does not represent a real football match. We hope you enjoy the virtual action Manchester United vs Tottenham Hotspur Live Gameplay.

Thanks for watching Man United vs Tottenham Live Stream Full Match Today Gameplay Simulation.",https://i.ytimg.com/vi/aaaxbdlqYcw/mqdefault.jpg,aaaxbdlqYcw,UC-TE4CuE7wKfX6LmeESAjZQ,,youtube#video,2/7/2026 1:00,en
Holy Ten - Ndakanyudzwa ,Holy Ten,14,1,36,2/10/2026,ZW,115272,9612,1481,,https://i.ytimg.com/vi/0i6pgsbZAk0/mqdefault.jpg,0i6pgsbZAk0,UCX56AdFXJoamrXKAL8rL1Zw,,youtube#video,2/8/2026 1:00,en
roblox best gameplay,StanRP,15,1,35,2/10/2026,ZW,1130504,9288,13,Roblox insane moment aura #roblox #shorts #usa,https://i.ytimg.com/vi/Hz23JIumMnI/mqdefault.jpg,Hz23JIumMnI,UCHYA5HNaS5n4idxmP-at8nA,"roblox, granny, free fire, live roblox, roblox shorts, shorts feed, 67, six seven, meme reset, singing brainrot song, great meme reset",youtube#video,2/8/2026 1:00,en
Nyasha David - Tsvodi (Official Music Video),Nyasha David,16,34,34,2/10/2026,ZW,75661,7488,766,"#Tsvodi #nyashadavid #mafindifuva 

Song Produced by Rodney Beatz (Clean Shizzle)
Guitars, Synths and Arrangement by Adrian Tate
Video Directed  by  TSG 
Make Up By Make Up NaLisa

CONNECT WITH NYASHA DAVID
►Facebook       /  nyasha.dengwani​  
►Facebook       /  @nyashadavidzw​  
►Instangram    / ​  @nyashadavidzw​  
►Twitter            /   @nyashadavidzw​  
►Tik Tok            /  nyashadavidzw    
►Whatsapp    263 774 421 468     :+263 773 395 000
►Snapchat      @nyashadavidzw

BOOKINGS/WORK
►Email: davdeng79@gmail.com :nyashadavidzw@gmail.com
►Phone: +263 774 421 468     :+263 773 395 000
►Physical Adress : 92 C East Road Belgravia Harare  Zimbabwe",https://i.ytimg.com/vi/07pinMbPq2Q/mqdefault.jpg,07pinMbPq2Q,UCx1LPxEtJWIpvtXTYadAdKg,,youtube#video,2/9/2026 1:00,und
WE PLAYED GTA 5 TRON...,TechyCrew,17,1,33,2/10/2026,ZW,235177,3298,306,"Socials: https://solo.to/techys

#Techy #AmongUs #AmongUsMods",https://i.ytimg.com/vi/77P5uqDIYvc/mqdefault.jpg,77P5uqDIYvc,UCTU3m4rCUS-7qXuHK-j9Uqw,"Techy, TechyCrew, Among Us, Fortnite, Fortnite Creative, Roblox, Techy Roblox, Among Us Roles",youtube#video,2/8/2026 1:00,en
Chana Changu by Feli Nandi,FELI NANDI,18,7,32,2/10/2026,ZW,62847,3225,385,"|| Song Title: Chana Changu 

A take on a  Love Letter from Parents , Guardians and Stewards who want to see their children succeed and live happy, fulfilled lives. 

|| Written and Composed by Feli Nandi 
Produced by Ghost Magician
Shot by Pikicha Yedu Studios
Dressed by Lani",https://i.ytimg.com/vi/wIWbW8XoCa8/mqdefault.jpg,wIWbW8XoCa8,UCOyU8XO1z3GWjq39VxtWHmQ,,youtube#video,2/6/2026 1:00,en
PARENTS vs KIDS ONE COLOR Hide and Seek in Minecraft!,Cash,19,1,31,2/10/2026,ZW,465622,5202,908,"Instagram: https://www.instagram.com/cashmarcoyt/
Merch: https://cashandnico.com

#Minecraft #MinecraftMod #Cash #NicoAndCash",https://i.ytimg.com/vi/UX3Zy08v9U4/mqdefault.jpg,UX3Zy08v9U4,UC0eLBYhxW9HC0P9PXQ73mpQ,"Cash, Nico, Nico and Cash, Cash and Nico, Minecraft, Minecraft mod, family friendly, kid friendly, PARENTS vs KIDS ONE COLOR Hide and Seek in Minecraft!",youtube#video,2/8/2026 1:00,en-US
Ninety6 - Baba ft. Hulengende (Official Music Video),Ninety6,20,-1,9,2/10/2026,ZW,100079,4561,436,"Produced by Ras Nigga & RecycleBeats
Directed by Taurai Zidya

CONNECT WITH NINETY6 MUSIC :
▶Facebook : https://www.facebook.com/profile.php?id=61564255506508
▶Instagram :  https://www.instagram.com/ninety6_music 

Copyright © 2026 Ninety6
All rights reserved. No part of this publication may be reproduced, distributed, or transmitted in any form or by any means, including, recording, or posting.",https://i.ytimg.com/vi/HXseRjN1g6Y/mqdefault.jpg,HXseRjN1g6Y,UC8O0nkWlNrqJqCeWc6OH2eA,,youtube#video,2/2/2026 1:00,und
SCC FINAL: Magnus vs. Alireza For The Speed Chess Crown! Hikaru v. Denis For Third Place Match!,Chess.com,21,1,29,2/10/2026,ZW,958483,11248,297,"The Speed Chess Championship is where world's most vicious players clash in high speed, high stakes chess. Will Magnus or Hikaru win again or could there be a new king of speed chess?

⚡ https://www.chess.com/events/2025-speed-chess-championship

Follow us here 😀:
✅ Join the world's largest chess community: http://www.Chess.com
💜 Check us out on Twitch: https://www.twitch.tv/chess
📸 Follow us on Instagram: https://www.instagram.com/wwwchesscom
📱 Like us on Facebook: https://www.facebook.com/chess
🎶 Follow us on TikTok: https://www.tiktok.com/@chess
💙 Follow us on Twitter: https://twitter.com/chesscom

#chess #speedchess #scc",https://i.ytimg.com/vi/LDVhPqRlKro/mqdefault.jpg,LDVhPqRlKro,UC5kS0l76kC0xOzMPtOmSFGw,"chess, chess24, analysis, Chess.com, checkmate, Chess stream, best chess players, Chess tournament, SCC, Speed Chess Championship, Alireza Firouzja, Praggnanandhaa, Wesley So, Ian Nepomniachtchi, Ding Liren, Fabiano Caruana, Anish Giri, Vincent Keymer, Magnus Carlsen, Hikaru Nakamura, Quang Liem Le, Arjun Erigaisi, Denis Lazavik, Jose Martinez, Tuan Minh Le, Hans Niemann, speed chess",youtube#video,2/8/2026 1:00,en
Runna Rulez- SPOON Ft. VOLTZ Jt(Official Music Video),Runna Rulez,22,-5,-18,2/10/2026,ZW,283200,13777,2087,"Produced by Fidel3times
Video shot and directed by director Simba
Sound engineered by Bleqboithedan

Sample by the late Legend Dr Oliver Mtukudzi (hazvirevi rudo handina)",https://i.ytimg.com/vi/Y5n3L5qbHGc/mqdefault.jpg,Y5n3L5qbHGc,UC3_gK0DockIqSOBLkxhJYQg,,youtube#video,1/20/2026 1:00,und
🔴Liverpool vs Manchester City - English Premier League 2026 - Video Game Simulation,Bampi,23,1,27,2/10/2026,ZW,108792,501,6,"Sub plz!
PES 21 | Liverpool vs Manchester City - Premier League 25/26 | eFootball Video Gameplay Simulation | الدوري الإنجليزي الممتاز 2025/26 
premier league
league
epl
Giải Ngoại hạng Anh mùa giải 2025/26
english league
football simulation
game
england
cup",https://i.ytimg.com/vi/uyMOuvEU2kI/mqdefault.jpg,uyMOuvEU2kI,UCT-obV9iz5FuIwcgemKcnHg,"pes 2021, pes 2021 gameplay, soccer, pro evolution soccer 2021, pc gameplay, football pes 2021, sport, football, gameplay video, gameplay, pc, gameplay football, gameplay pes 2021, pes 2021 pc, game, футбол, спорт, игра, геймплей, efootball, pes 2025, soccer game, football game, premier league, english league, epl, video, live football, premier league 25-26, liverpool vs man city, liverpool, man city, manchester city",youtube#video,2/8/2026 1:00,en
"Moyo Wangu II (feat. Atenda Chinx, Shona Prince, Delroy Shewe, Anita Jaxson & Takura)",Learn Zimbabwe - Topic,24,-3,10,2/10/2026,ZW,67068,2072,0,"Provided to YouTube by DistroKid

Moyo Wangu II (feat. Atenda Chinx, Shona Prince, Delroy Shewe, Anita Jaxson & Takura) · Learn Zimbabwe · Atenda Chinx · Shona Prince · Delroy Shewe · Anita Jaxson · Takura · Anita Jaxson · Zero 53

Moyo Wangu II (feat. Atenda Chinx, Shona Prince, Delroy Shewe, Anita Jaxson & Takura)

℗ Learn Zimbabwe Records

Released on: 2026-02-02

Auto-generated by YouTube.",https://i.ytimg.com/vi/byPwH0WK9pE/mqdefault.jpg,byPwH0WK9pE,UCYZnsIwtHJO5Mt_Wz_KOAvQ,"Learn Zimbabwe, Atenda Chinx, Shona Prince, Delroy Shewe, Anita Jaxson, Takura, Zero 53, Moyo Wangu II (feat. Atenda Chinx Shona Prince Delroy Shewe Anita Jaxson & Takura)",youtube#video,2/1/2026 1:00,und
BMX Vs SUPERCARS In GTA 5...,Techy,25,1,25,2/10/2026,ZW,163697,2926,377,"Join My Roblox Group!
https://www.roblox.com/groups/33043362/The-Techy-ARMY#!/about

Socials: https://solo.to/techys",https://i.ytimg.com/vi/Ia1M5I2vetY/mqdefault.jpg,Ia1M5I2vetY,UCFmIhbx3_RkwlMLPA4Xv8-w,"roblox, techy, techy plays, brookhaven, techyblox, techycrew, more techy",youtube#video,2/8/2026 1:00,en
Mr Attention-Handinyore (Gaga 2 Minutes Remix Official Audio) ,Mr Attention SkylevelDon,26,-3,-17,2/10/2026,ZW,139706,2369,419,"Featuring @FreemanHKDBOSS  @baggamusiczw @queenkadjah @DelroyShewe ​ @Kingalfakadiki  & @holyten 🫶🏾🫶🏾🫶🏾🇿🇼🇿🇼🇿🇼

Produced by Sude Rec

Powered by Lewis Zimcelebs
Not For Re-Uploading!!!

Copyright owner:Mr Attention & Zimcelebs",https://i.ytimg.com/vi/eNh91cupBwU/mqdefault.jpg,eNh91cupBwU,UCKaFOHif8M2_zADCA5w_bcQ,,youtube#video,1/26/2026 1:00,en
I Got Trained By a Minecraft TNT Master,FlameFrags,27,1,-11,2/10/2026,ZW,3862995,157031,20576,"BIG BOOM 4/4

I Got Trained By a Minecraft TNT Master

Unstable SMP:
➜ @wemmbumc 
➜ @ParrotX2 
➜ @Spokeishere 
➜ @FlameFragsMC 

Music from: 
Minecraft (Creator Safe Music, used courtesy of Mojang Studios), Nombra101, NourOSTs, Epidemic Sound, Storyblocks, Artlist, Envato, and Soundstripe.

Thank you: @TheobaldTheBird @ParrotX2 @TeamKalal1 @Twirps @LettuceK & UU Team / Event Server!

This video takes place on the Unstable Universe / Unstable SMP: a staged Minecraft server created by FlameFrags, Parrot, Wemmbu, and Spoke to tell cinematic stories in Minecraft.
Any future staged content will include a disclaimer in the description.

Affiliates!
Join My Minecraft Server!
IP: play.flamefrags.com
Port: 19132
FlameFragsSMP Discord ➜ https://discord.gg/flamefragsmc
Feather Cosmetics ➜ https://feathermc.com/flamefrags
Merch ➜ https://creatormerch.com/flamefrags

#flamefrags #minecraft",https://i.ytimg.com/vi/AjhaNdGsoFE/mqdefault.jpg,AjhaNdGsoFE,UCvYPobTo42NM36X7VC4dLhA,"minecraft, flamefrags, flame frags, flamefrags minecraft, flame minecraft",youtube#video,2/2/2026 1:00,en-US
O Mwari Muri Zuva Rangu,Tatenda Timothy Kashiri - Topic,28,-1,-17,2/10/2026,ZW,339361,3803,154,"Provided to YouTube by DistroKid

O Mwari Muri Zuva Rangu · Tatenda Timothy Kashiri · Tatenda Timothy Kashiri · Tatenda Timothy Kashiri

O Mwari Muri Zuva Rangu

℗ 11287388 Records DK

Released on: 2026-01-07

Auto-generated by YouTube.",https://i.ytimg.com/vi/xtmWPTLn5Go/mqdefault.jpg,xtmWPTLn5Go,UCVKjXuxaJ1BV8S4vpQHpuOw,"Tatenda Timothy Kashiri, O Mwari Muri Zuva Rangu",youtube#video,1/10/2026 1:00,und
"Survive 99 Nights, Win $99,000",MrBeast Gaming,29,1,-11,2/10/2026,ZW,18587794,334373,18020,"I still can't believe how close this was
Download Whatnot now and follow me so you don’t miss the $1,000,000 Big Game Stream on 2/8: https://www.whatnot.com/user/mrbeast

Jack Link’s x MrBeast beef sticks have arrived! Click and go get yours now 👉 https://bit.ly/JLMBYT1 snacklikeabeast JackLinksPartner

New Merch - https://mrbeast.store
Join our discord server for your chance to compete in future Minecraft challenges!
https://discord.gg/mrbeastgaming
Music Provided by https://www.extrememusic.com
----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast",https://i.ytimg.com/vi/90lzlq8AEX0/mqdefault.jpg,90lzlq8AEX0,UCIPPMRA040LQr5QPyJEbmXA,,youtube#video,1/31/2026 1:00,en
Nutty o x Buffalo Souljah   Pane Acha Chema (Official Video), Nutty O - ABX,30,20,20,2/10/2026,ZW,44794,3843,470,"🎬 OFFICIAL MUSIC VIDEO | PANE ACHA CHEMA
🎤 ARTISTS:
Nutty O ✖ Buffalo Souljah

🎥 DIRECTED BY:
🎬 Director Kenny

🎶 PRODUCED BY:
Jerry Spirit Fingers
DJ Tamuka

📲 FOLLOW THE ARTISTS:
🔹 Nutty O – @NuttyO-ABX abx_nuttyo
🔹 Buffalo Souljah – @BuffaloSouljah1

📌 STREAM | SHARE | SUBSCRIBE


All rights reserved. No part of this publication may be reproduced, distributed, or transmitted in any form or by any means, including, recording, or Posting on a YouTube channel, without prior written permission. 
Music Business Affairs - @Marty_Solyd
 Copyright 2026  - 925 Talent Agency",https://i.ytimg.com/vi/ed83q17Eu78/mqdefault.jpg,ed83q17Eu78,UChVqcWocWFSmqewxOYhrA1Q,,youtube#video,2/9/2026 1:00,en
How Long Can Sea Hand Monster Get?,EYstreem,31,1,-9,2/10/2026,ZW,2549577,24336,1488,"✅ CLICK HERE to get Odoo for FREE to support my channel ▶ https://www.odoo.com/r/LTBP

Imagine if Sea Hand Monster was LONG! 🤚 What Happens when I make him 1,000,000 Blocks??

Play Minecraft with ME and be IN VIDEOS! 😝 Just click the 'JOIN' button here ▶
https://www.youtube.com/channel/UC-g_O9HWb5B0rVDG1hLd5Hw/join

👕 Buy EYmerch: https://eystreem.store/ 
🎮 My Minecraft Server Address: play.eyserver.com
You can join this server on Bedrock Edition (Phones, Consoles and Tablets) and Java Edition (PC and Mac)
❤️ Tik Tok: https://direct.me/eystreem
👻 Snapchat: https://www.snapchat.com/add/eystreemsnap
📷 Instagram: https://direct.me/eystreem
📧 Email: ey@spawnpointmedia.com

💙 Huge thanks and credit to these awesome creators for inspiring today's video: https://docs.google.com/document/d/1_UilMRDHRNSZ3VyzxhW0fQ6_T5GfizFUlMGCI20vPGI/edit?usp=sharing

#Eystreem #Minecraft",https://i.ytimg.com/vi/NbKNRAsYo14/mqdefault.jpg,NbKNRAsYo14,UC-g_O9HWb5B0rVDG1hLd5Hw,"Eystreem, eyestream, eystream, minecraft, roleplay, funny, troll, prank, secret, hidden, tutorial, minecraft phone, minecraft bedrock edition, How Long Can Sea Hand Monster Get?, eystreem pranks, eystreem firelight, how long can the monster get in minecraft, how long in minecraft, sea hand monster, sea creatures, terrifying sea creatures, sea hand monster in minecraft, how to catch a sea creature in minecraft, minecraft scary pranks",youtube#video,1/31/2026 1:00,en
Andy Muridzo - Mavambo Produced By Cymplex,Andy Muridzo,32,-1,-19,2/10/2026,ZW,84018,3101,435,,https://i.ytimg.com/vi/VXRV0Bot0KU/mqdefault.jpg,VXRV0Bot0KU,UCTdqY3KRX3ZLzRlz5K1d3yA,,youtube#video,1/30/2026 1:00,en
